nm	nmqm	wfl	rooms	bj	bez	wohngut	wohnbest	ww0	zh0	badkach0	badextra	kueche
649.35	11.81	55	2	1983	19	0	1	0	0	0	0	0
699.46	9.2	76	3	1918	5	0	0	0	0	1	0	0
479.46	8.56	56	2	1957	5	1	0	0	1	1	0	0
400.34	9.31	43	1	1984	17	0	0	0	0	0	0	0
1151.63	10.97	105	3	1918	5	1	0	0	0	0	1	0
593.4	8.99	66	3	1966	17	0	0	0	0	0	0	0
817.25	8.6	95	3	1918	5	0	0	0	0	0	0	0
584.38	9.58	61	2	1960	4	0	0	0	0	0	0	0
505.62	8.87	57	3	1966	6	0	0	0	0	1	0	0
621.6	8.4	74	3	1984	12	0	0	0	0	0	0	0
706.61	7.36	96	3	1971	15	1	0	0	0	0	1	0
691.92	7.77	89	3	1972	13	1	0	0	0	0	1	0
566.21	8.99	63	2	1979	15	1	0	0	0	0	0	0
269.84	4.35	62	2	1918	2	0	0	1	1	0	0	0
526.7	4.02	131	5	1924	2	0	0	0	0	0	0	0
710.69	10.45	68	2	2000	2	0	0	0	0	0	1	0
689.49	8.21	84	3	1983	2	0	0	0	0	0	0	0
511.3	10.23	50	2	1968	2	0	0	0	0	0	0	0
418.3	5.73	73	4	1960	14	0	0	0	0	0	0	0
415.32	6.39	65	3	1966	14	0	0	0	0	0	0	0
445.33	7.81	57	2	1918	14	0	0	0	0	0	0	0
359.73	4.13	87	3	1924	10	0	0	0	0	0	0	0
890	10.23	87	3	1984	9	1	0	0	0	0	0	0
483.43	8.95	54	2	1992	9	1	0	0	0	0	0	0
656.51	11.13	59	2	1992	9	1	0	0	0	0	0	0
695	7.64	91	3	1966	12	0	0	0	0	0	0	0
106.22	3.32	32	1	1957	11	0	0	0	0	0	0	0
132.24	3.57	37	2	1948	11	0	0	1	1	0	0	0
456.44	4.91	93	4	1977	11	0	0	0	0	0	0	0
489	6.19	79	3	1948	13	0	0	0	0	0	0	0
825.48	8.01	103	4	1982	18	0	0	0	0	0	1	0
831.28	9.04	92	3	1966	16	0	0	0	0	0	0	1
715.82	10.23	70	3	1960	18	0	0	0	0	0	0	0
637.38	8.39	76	3	1989	13	0	0	0	0	0	0	0
813.78	11.3	72	3	1992	13	0	0	0	0	0	0	0
339.5	3.77	90	3	1973	13	1	0	0	0	0	1	1
598.23	8.31	72	3	1957	25	0	0	0	0	0	0	0
361.97	5.48	66	2	1924	25	0	0	0	0	0	0	0
693.57	8.67	80	3	1966	25	0	0	0	0	0	0	0
549.98	7.64	72	3	1973	25	0	0	0	0	0	0	0
621.79	9.57	65	2	1998	24	0	0	0	0	0	0	1
352.85	4.97	71	3	1993	24	0	0	0	0	0	0	0
969.36	8.89	109	4	1983	21	1	0	0	0	0	1	0
298.95	5.44	55	2	1997	21	0	0	0	0	0	0	0
456.94	7.62	60	2	1997	21	0	0	0	0	0	1	0
292.28	8.35	35	2	1966	21	0	0	0	0	0	0	0
649.82	6.37	102	4	1974	13	0	0	0	0	0	1	0
363.91	11.37	32	1	1918	5	1	0	0	0	0	0	0
1749.15	14.22	123	4	1918	13	0	1	0	0	0	0	0
679.01	8.28	82	3	1972	13	0	0	0	0	0	0	0
643.64	9.07	71	3	1972	13	0	0	0	0	0	0	0
727.96	9.1	80	3	1918	5	0	0	0	0	0	0	0
963.84	9.01	107	4	1966	13	0	1	0	0	0	0	0
338.34	5.21	65	3	1960	19	0	0	0	0	0	0	0
718.07	10.26	70	2	1983	19	0	0	0	0	0	0	0
892.13	9.39	95	3	1918	2	0	0	0	0	0	1	0
1217.15	9.66	126	4	1918	2	0	0	0	1	0	0	0
338.15	8.05	42	2	1960	2	0	0	0	0	0	0	0
466.43	9.33	50	2	1968	3	0	0	0	0	0	0	0
570.1	7.22	79	4	1966	20	0	0	0	0	0	0	0
673.47	9.23	73	4	1960	15	1	0	0	0	0	0	0
562.58	10.23	55	2	1974	9	0	1	0	0	0	0	0
639.13	3.85	166	6	1918	9	1	0	1	0	0	1	0
619.94	5.39	115	5	1918	9	1	0	0	0	1	0	0
426.73	10.94	39	1	1957	5	0	0	0	0	0	1	0
294.82	4.09	72	3	1918	5	1	0	1	1	0	0	0
304.23	5.25	58	2	1918	5	1	0	0	1	1	1	0
587.99	11.76	50	2	2000	8	0	0	0	0	0	0	0
308.99	4.48	69	4	1924	8	0	0	0	0	0	0	0
516.5	8.33	62	2	1918	8	0	0	0	0	0	0	0
998.83	12.18	82	3	1993	15	1	0	0	0	0	1	1
951.37	10.12	94	2	1988	15	1	0	0	0	0	1	0
679.38	7.72	88	4	1968	16	0	0	0	0	0	0	0
505.67	6.93	73	4	1966	16	0	0	0	0	1	0	0
292.61	7.7	38	1	1969	16	0	0	0	0	0	0	0
536.87	8.26	65	2	1969	16	0	0	0	0	1	0	0
613.55	8.07	76	2	1972	16	0	0	0	0	1	0	0
546.5	7.01	78	4	1960	14	0	0	0	0	0	0	0
246.48	4.04	61	3	1924	14	0	0	0	1	0	0	0
588	11.53	51	2	1924	3	1	0	0	0	0	0	0
756.34	8.5	89	4	1918	17	0	0	0	0	0	0	0
149.62	2.49	60	3	1957	17	0	0	1	1	1	0	0
237.75	4.1	58	2	1918	5	1	0	1	1	0	0	0
261.19	11.36	23	1	1968	17	0	0	0	0	0	0	0
476.53	6.19	77	3	1968	16	0	0	0	0	1	0	0
379.86	5.35	71	3	1970	23	0	0	0	0	0	0	0
181.98	3.87	47	2	1960	10	0	0	1	1	1	0	0
907.53	9.36	97	4	1966	10	0	0	0	0	0	0	0
767.94	7.31	105	4	1970	10	0	0	0	0	0	0	0
740.71	10.58	70	3	1967	24	0	0	0	0	0	0	1
678.93	7.63	89	4	1972	23	0	0	0	0	1	0	0
705.29	6.41	110	4	1918	9	1	0	0	0	0	0	0
458.92	9.18	50	2	1960	9	1	0	0	0	1	1	0
560.76	6.76	83	2	1918	9	1	0	0	0	0	0	0
559.87	10.37	54	2	1993	13	0	0	0	0	0	0	0
690	8.96	77	2	1983	4	1	0	0	0	0	0	0
920.34	9.49	97	4	1966	4	1	0	0	0	1	0	0
469.08	7.11	66	3	1966	20	0	0	0	0	1	0	0
324.67	7.92	41	2	1969	20	0	0	0	0	0	0	0
685.04	7.87	87	3	1966	4	1	0	0	0	1	0	0
410.74	4.67	88	4	1924	25	0	0	1	1	1	0	0
608.43	10.31	59	2	1992	16	0	0	0	0	0	0	0
383.48	9.59	40	1	1984	16	0	0	0	0	0	0	0
505.23	6.56	77	4	1974	16	0	0	0	0	0	0	0
586.11	7.51	78	3	1989	16	0	0	0	0	0	0	1
585.03	8.36	70	2	1966	9	1	0	0	0	1	0	0
605.78	10.44	58	2	1918	9	0	0	0	0	0	0	0
536.74	8.13	66	3	1960	9	0	0	0	0	0	0	0
690	11.9	58	2	1985	19	0	0	0	0	0	0	0
423.43	6.23	68	3	1982	19	1	0	0	0	0	0	1
352.5	10.37	34	1	1970	19	0	0	0	0	0	0	0
387.96	5.97	65	2	1966	19	0	0	0	0	1	0	0
428.93	9.32	46	2	1966	19	0	0	0	0	0	0	0
277.93	7.94	35	1	1966	16	1	0	0	0	0	0	0
1150.42	10.46	110	3	1960	1	1	0	0	0	0	0	1
392.98	5.1	77	3	1970	11	0	0	0	0	0	0	0
1038.48	10.82	96	4	1985	12	1	0	0	0	0	1	1
490.85	12.27	40	2	1972	2	1	0	0	0	0	0	0
389.77	6.09	64	2	1918	2	1	0	0	0	0	0	0
618.17	7.82	79	3	1918	2	1	0	0	1	0	0	0
718.86	8.77	82	3	1998	2	0	0	0	0	0	0	0
377.08	4.9	77	3	1969	17	0	0	0	0	0	0	0
552.21	8.5	65	2	1970	17	0	0	0	0	0	0	0
871.77	11.47	76	3	1984	16	0	0	0	0	1	1	0
419.27	7.36	57	2	1957	6	0	0	0	0	1	0	0
383.47	10.65	36	1	1998	6	0	0	0	0	0	0	0
635.69	6.84	93	3	1918	6	0	0	0	0	1	0	0
527.76	6.07	87	4	1972	7	0	0	0	0	1	0	0
647.81	8.2	79	3	1985	7	0	0	0	0	0	0	0
345.72	9.1	38	1	1966	7	0	0	0	0	0	0	0
680.36	6.74	101	4	1972	10	0	0	0	0	0	0	0
517.59	9.77	53	3	1966	10	0	0	0	0	0	0	0
414.65	5.76	72	3	1969	22	0	0	0	0	0	0	0
722.92	8.82	82	3	2000	21	1	0	0	0	0	0	0
524.14	9.53	55	2	1971	22	0	0	0	0	0	0	0
410.97	10.27	40	1	1972	13	0	0	0	0	0	0	0
175.81	2.88	61	2	1918	25	0	0	0	1	1	0	0
1113.78	7.96	140	5	1966	14	0	0	0	0	0	0	0
314.74	5.33	59	2	1948	14	0	0	0	0	1	0	0
551.55	9.68	57	2	1967	13	0	0	0	0	1	0	0
773.69	11.05	70	2	1918	12	1	0	0	0	0	0	0
487.61	12.19	40	1	1966	4	1	0	0	0	0	0	0
762.35	11.21	68	3	1918	3	1	0	0	0	0	0	1
486.4	9.73	50	2	1960	4	1	0	0	0	0	0	0
400	11.76	34	1	1983	4	1	0	0	0	0	0	0
1119.75	10.98	102	3	1918	4	1	0	0	0	1	0	0
538.07	10.55	51	2	1918	3	1	0	0	1	0	0	0
1153.77	9.61	120	4	1972	4	0	0	0	0	0	1	0
300.42	11.13	27	1	1972	12	1	0	0	0	1	0	0
564.01	5.76	98	3	1918	8	0	0	0	0	1	0	0
637.03	7	91	3	1987	2	0	0	0	0	0	0	0
562.43	8.39	67	3	1957	12	1	0	0	0	0	0	0
496.15	7.63	65	2	1918	3	1	0	0	0	1	0	0
261.98	4.85	54	2	1957	3	1	0	1	1	1	0	0
926.93	10.19	91	4	1960	5	0	0	0	0	1	0	0
393.2	5.96	66	3	1966	19	0	0	0	0	0	0	0
565.09	6.65	85	4	1971	19	0	0	0	0	0	1	0
613.56	8.29	74	3	1974	20	0	0	0	0	0	0	0
592.96	11.19	53	2	1996	7	1	0	0	0	0	0	0
458.82	5.66	81	3	1972	6	0	0	0	0	0	0	0
279.35	7.98	35	1	1967	7	0	0	0	0	0	0	0
800	10	80	4	1988	23	0	0	0	0	0	1	0
563.96	7.42	76	3	1978	19	0	0	0	0	0	0	0
389.77	10.26	38	1	1968	19	0	0	0	0	0	0	0
1288.48	8.83	146	1	1973	19	1	0	0	0	0	0	0
488.55	7.88	62	3	1957	18	0	0	0	0	0	0	0
766.95	8.52	90	3	1979	18	0	0	0	0	0	0	0
921.23	9.21	100	3	2000	9	0	0	0	0	0	1	0
373.25	10.66	35	1	1966	9	1	0	0	0	0	0	0
331.87	9.76	34	1	1957	9	0	1	0	0	0	0	0
344.06	11.47	30	1	1971	18	1	0	0	0	0	0	0
529.56	8.41	63	2	1957	18	0	0	0	0	0	0	0
617.65	13.43	46	2	1957	18	0	0	0	0	0	0	0
239.07	3.68	65	3	1918	7	0	0	1	1	0	0	0
424.71	7.87	54	3	1973	7	0	0	0	0	1	0	0
377.2	6.08	62	3	1960	7	0	0	0	0	0	0	0
591.44	9.7	61	2	1966	25	0	0	0	0	0	0	0
521.52	11.34	46	2	1918	3	1	0	0	0	0	0	0
627.66	8.84	71	2	1957	3	1	0	0	0	0	0	0
426.91	8.54	50	2	1957	3	1	0	0	0	0	0	0
695.45	9.8	71	3	1966	1	1	0	0	0	0	0	0
184.11	4	46	1	1918	16	0	0	0	0	1	0	0
661.31	7.6	87	3	1948	16	1	0	0	0	0	1	0
869.21	9.45	92	3	1918	5	0	0	0	0	0	0	0
304.22	6.08	50	2	1918	5	1	0	0	1	1	0	0
997	9.68	103	3	1948	5	1	0	0	0	0	0	0
458.11	8.33	55	2	1971	15	0	0	0	0	0	0	0
163.17	2.91	56	2	1918	21	0	0	1	1	0	0	0
640	9.41	68	3	1971	21	1	0	0	0	0	0	0
485.74	11.3	43	2	1967	12	1	0	0	0	0	0	0
559.76	6.83	82	4	1918	12	1	0	1	1	0	0	0
505.08	7.77	65	2	1991	21	0	0	0	0	0	0	0
603.34	9.28	65	3	1970	21	0	0	0	0	0	0	1
673.87	8.98	75	3	1981	21	0	0	0	0	0	0	0
594.4	5.66	105	5	1970	7	0	0	0	0	0	1	0
554.73	7.3	76	4	1975	7	1	0	0	0	0	0	0
768.15	8.44	91	4	1981	25	0	0	0	0	0	0	1
664.69	15.83	42	2	1957	9	1	0	0	0	0	0	0
764.5	9.56	80	4	2000	19	0	0	0	0	0	1	0
257.3	4.95	52	2	1987	8	0	0	0	0	0	0	0
1022.6	12.78	80	3	1918	2	1	0	0	0	0	0	0
1195.52	8.86	135	5	1995	2	1	0	0	0	0	0	0
890.59	10.86	82	3	1918	2	1	0	0	0	0	0	0
327.23	9.62	34	1	1918	2	0	0	0	0	0	0	0
392.05	12.25	32	1	1966	2	1	0	0	0	0	0	0
544.93	8.79	62	2	1974	11	0	0	0	0	0	0	1
583.75	5.17	113	4	1918	12	1	0	0	0	0	0	0
501.08	6.86	73	3	1957	6	1	0	0	0	1	0	0
676.33	7.77	87	3	1993	16	0	0	0	0	0	0	0
658.42	7.75	85	4	1960	6	0	0	0	0	0	0	0
747.22	10.24	73	4	1998	6	0	0	0	0	0	0	1
450.97	13.67	33	1	1973	7	0	0	0	0	0	0	0
848.76	9.43	90	4	1918	4	1	0	0	0	0	0	0
203.75	4.74	43	2	1957	12	1	0	0	1	0	0	0
1094.18	12.16	90	3	1990	12	0	0	0	0	0	0	0
521.52	7.9	66	3	1969	25	0	0	0	0	0	1	0
592.84	11.86	50	2	1985	11	0	0	0	0	0	0	0
271.11	5.53	49	3	1960	11	0	0	0	0	0	0	0
855.03	11.71	73	3	1972	4	1	0	0	0	0	1	0
272.96	4.14	66	3	1966	11	0	0	0	0	1	0	0
602.69	8.86	68	3	1980	4	0	0	0	0	0	0	0
700.47	10.01	70	2	1998	25	1	0	0	0	0	0	0
486.06	5.86	83	4	1966	13	0	0	0	0	0	0	0
777.19	8.18	95	3	1966	13	0	0	0	0	0	0	1
603.33	8.62	70	3	1967	13	0	0	0	0	0	0	0
448.42	6.06	74	3	1995	16	0	0	0	0	0	0	0
509.28	7.07	72	3	1973	16	0	0	0	0	0	0	0
789.96	10.68	74	2	1983	16	1	0	0	0	0	1	0
390.26	6.5	60	2	1988	16	0	0	0	0	0	0	0
956.13	9.11	105	4	1966	18	0	0	0	0	0	0	0
769.76	12.22	63	3	1966	11	0	0	0	0	0	0	0
753.29	10.92	69	3	1983	3	1	0	0	0	0	0	0
664.69	8.52	78	3	1972	3	1	0	0	0	0	0	0
923.67	11	84	3	1918	3	1	0	0	0	0	0	0
556.89	6.79	82	3	1957	3	1	0	0	0	0	0	0
1236.38	9.89	125	5	1918	5	1	0	0	0	0	0	0
284.92	4.67	61	2	1924	5	0	0	0	0	0	0	0
974.84	9.11	107	3	1918	5	1	0	0	0	0	0	0
506.18	9.2	55	2	1960	5	1	0	0	0	0	0	0
882.24	8.91	99	3	1983	5	1	0	0	0	0	0	0
461.81	5.13	90	4	1948	24	0	0	1	1	0	1	0
516.77	4.53	114	5	1969	10	0	0	0	0	1	0	0
572.66	11.69	49	2	1966	10	0	0	0	0	0	0	0
654.97	8.85	74	3	1987	10	0	0	0	0	0	0	0
594.54	10.08	59	2	2000	24	0	0	0	0	0	0	1
425.36	9.25	46	2	1972	10	0	0	0	0	0	0	0
505.38	9.36	54	2	1918	9	1	0	0	1	0	0	0
653.44	10.21	64	2	1918	9	1	0	0	0	0	0	0
814.56	10.18	80	2	1918	9	1	0	0	1	1	1	0
282.77	5.34	53	2	1918	9	1	0	0	0	0	0	0
471.66	7.61	62	3	1960	17	0	0	0	0	0	0	0
511.44	7.01	73	3	1989	17	0	0	0	0	0	0	0
593.11	8.6	69	3	1957	17	0	0	0	0	0	0	0
378.37	7.42	51	2	1948	17	0	0	0	0	0	0	0
1073.73	10.74	100	5	1977	17	0	0	0	0	0	0	0
283.9	11.36	25	1	1948	4	1	0	0	0	0	0	0
710.94	9.11	78	3	1972	11	0	0	0	0	0	0	0
408.89	8.7	47	1	1983	4	0	0	0	0	0	0	0
864.1	10.05	86	3	1966	22	0	0	0	0	0	0	0
363.35	11.01	33	1	1970	21	0	0	0	0	0	0	0
619.69	5.16	120	4	1918	21	0	0	0	0	1	0	0
862.57	7.84	110	5	1918	21	0	0	0	0	0	1	0
499.23	6.66	75	3	1969	19	0	0	0	0	0	0	0
938.61	11.45	82	3	1967	19	0	1	0	0	0	1	1
611.96	11.13	55	2	1972	2	0	0	0	0	0	0	0
826.91	8.27	100	3	1918	8	0	0	0	0	1	0	0
442.9	7.38	60	2	1966	10	0	0	0	0	0	0	0
877	11.39	77	3	1971	9	1	0	0	0	1	0	0
238.62	2.43	98	3	1918	9	0	0	0	1	0	0	0
983.17	9.36	105	4	1948	9	1	0	0	0	0	1	1
107.74	2.63	41	1	1939	9	0	0	0	0	1	0	0
819.13	9.1	90	3	1985	9	1	0	0	0	0	1	0
417.47	5.09	82	4	1960	9	0	0	0	0	1	0	0
1095.49	10.95	100	3	1978	4	0	0	0	0	0	0	1
735.52	10.98	67	2	1918	3	1	0	0	0	0	0	1
710.24	12.46	57	2	1991	15	0	0	0	0	0	1	0
632.47	12.16	52	2	1972	6	0	0	0	0	0	0	0
870	9.06	96	3	1918	6	0	0	0	0	0	0	0
495.84	7.87	63	2	1970	7	0	0	0	0	1	0	0
268.36	7.89	34	1	1957	6	0	0	0	1	0	0	0
637.85	7.78	82	3	1987	8	0	0	0	0	0	0	0
894.78	11.47	78	3	1918	5	1	0	0	0	0	1	1
444.83	11.12	40	2	1918	2	0	0	0	0	0	0	0
587.99	9.48	62	2	1918	2	0	0	0	0	0	0	0
485.73	9.91	49	2	1918	9	1	0	0	0	0	0	0
766.95	10.65	72	3	1990	9	1	0	0	0	0	0	0
720.93	10.45	69	3	1918	9	0	0	0	0	0	0	0
652.04	8.47	77	3	1971	9	0	0	0	0	0	0	0
536.86	9.76	55	2	1973	9	1	0	0	0	0	0	0
332.6	8.32	40	2	1972	9	1	0	0	0	0	0	0
584.6	9.13	64	2	1972	9	0	0	0	0	0	0	0
1344.72	10.76	125	6	1993	9	1	0	0	0	0	0	0
442.46	4.21	105	4	1998	16	1	0	0	0	0	0	0
602.6	10.96	55	2	1989	16	0	0	0	0	0	0	0
562.43	11.25	50	2	1987	16	0	0	0	0	0	1	0
384	7.11	54	2	1975	14	0	0	0	0	0	0	0
334	5.3	63	4	1966	14	0	0	0	0	0	0	0
239.44	4.79	50	2	1966	14	0	0	0	0	0	1	0
910.11	9.48	96	4	1918	2	1	0	0	0	0	1	0
541.87	16.93	32	1	1918	1	1	0	0	0	0	0	0
372.34	4.14	90	3	1924	5	0	0	0	0	0	0	0
841.08	9.04	93	3	1918	5	0	0	0	0	0	0	0
261.53	5.56	47	1	1948	16	0	0	0	0	1	1	0
640.14	8.42	76	2	1981	21	0	0	0	0	0	1	0
688.31	10.59	65	2	1983	21	0	0	0	0	0	0	0
1789.55	18.26	98	3	1994	21	0	1	0	0	0	1	1
311.87	5.38	58	3	1960	11	0	0	1	1	1	0	0
263.21	4.11	64	2	1939	3	1	0	1	1	1	0	0
345.23	10.15	34	2	1960	4	0	0	0	0	0	0	0
487.89	8.13	60	2	1957	3	1	0	0	0	0	0	0
479.87	5.85	82	3	1918	4	0	0	0	0	0	0	0
1089.39	9.81	111	4	1957	4	1	0	0	0	0	0	0
484.04	9.68	50	2	1987	3	1	0	0	0	0	0	0
619.98	11.48	54	2	1980	3	0	0	0	0	0	0	0
1216.99	11.59	105	4	1974	18	0	1	0	0	0	1	1
551.64	5.16	107	5	1918	9	1	0	0	0	1	0	0
81.28	1.89	43	2	1918	6	0	0	0	1	0	0	0
344.24	2.87	120	3	1918	9	1	0	0	0	0	0	0
674.26	7.66	88	4	1983	25	0	0	0	0	0	1	0
170.04	2.5	68	3	1918	9	1	0	1	1	0	0	0
591.56	7.99	74	3	1966	25	0	0	0	0	0	0	0
171.61	5.05	34	1	1966	9	1	0	0	0	0	0	0
840.22	9.03	93	4	1957	2	0	0	0	0	0	0	0
390.44	9.76	40	2	1975	3	1	0	0	0	0	0	0
683.74	7.95	86	3	1972	19	0	1	0	0	0	0	0
778.34	8.19	95	3	1960	18	0	0	0	0	0	0	0
370.71	6.74	55	3	1960	5	0	0	0	0	0	0	0
447.83	4.39	102	3	1918	16	0	0	0	1	0	0	0
286.95	7.17	40	1	1948	18	0	0	0	0	0	0	0
359.17	5.21	69	3	1960	5	1	0	1	1	1	0	0
442.29	5.33	83	3	1966	18	0	0	0	0	1	0	0
77.31	1.8	43	2	1948	19	0	0	1	0	0	0	0
257.18	8.3	31	1	1948	19	0	0	0	0	1	0	0
635.94	7.95	80	3	1982	19	0	0	0	0	0	0	0
533.66	5.74	93	4	1957	19	0	0	0	0	0	0	0
240.31	9.24	26	1	1957	19	0	0	0	0	0	0	0
424.38	5.51	77	3	1960	25	0	0	0	0	0	0	0
260.41	6.06	43	2	1957	25	0	0	0	0	1	0	0
249.1	4.7	53	2	1957	25	1	0	0	0	1	0	0
426.61	5.93	72	3	1948	25	0	0	0	0	0	0	0
287.36	4.95	58	3	1957	25	0	0	0	1	1	0	0
624.3	9.18	68	2	1993	25	0	0	0	0	0	0	0
352.79	7.67	46	2	1918	6	0	0	0	1	0	0	0
595.66	8.05	74	3	1957	3	1	0	0	0	1	0	0
355.59	6.97	51	2	1993	9	1	0	0	0	0	0	0
432.87	6.27	69	3	1948	9	0	0	0	0	0	0	0
321.77	7.31	44	1	1957	2	0	0	0	0	1	0	0
377.25	5.24	72	3	1957	3	1	0	1	1	0	0	0
288.88	3.7	78	3	1966	3	0	0	0	0	0	0	0
994.29	11.7	85	4	1957	3	1	0	0	0	0	0	0
945.91	9.01	105	4	1966	2	1	0	0	0	0	0	0
383.36	4.62	83	3	1918	2	0	0	0	1	0	0	0
587.99	12.51	47	2	1994	9	1	0	0	0	0	0	0
995	10.47	95	3	1918	9	1	0	0	0	0	0	0
640	11.03	58	2	1960	9	0	0	0	0	0	0	1
732.87	8.72	84	4	1957	9	0	0	0	0	0	0	0
516.05	6.45	80	3	1957	9	0	0	0	0	0	0	0
647.81	8.2	79	3	1948	4	1	0	0	0	0	0	0
610.77	5.18	118	4	1918	4	1	0	1	1	0	0	0
281.21	10.04	28	1	1968	18	1	0	0	0	0	0	0
1073.73	11.3	95	3	1986	18	0	1	0	0	0	0	0
537.44	10.14	53	2	1918	18	0	0	0	0	0	0	0
367.78	4.84	76	3	1948	17	0	0	0	0	0	0	0
250.09	4.31	58	2	1966	16	0	0	0	0	0	0	0
404.72	5.62	72	3	1957	17	0	0	0	0	0	0	0
445.13	6.36	70	3	1966	18	0	0	0	0	0	0	0
564.27	7.05	80	3	1976	18	0	1	0	0	0	0	0
562.43	9.87	57	2	1948	18	0	0	0	0	0	0	0
613.33	9.89	62	2	1972	18	0	0	0	0	0	0	0
542.86	9.2	59	2	1957	18	0	0	0	0	0	0	0
1165.75	11.54	101	5	1960	18	0	0	0	0	0	0	0
320.07	9.14	35	1	1966	18	0	0	0	0	0	0	0
824.21	10.3	80	3	1918	5	1	0	0	0	0	0	0
307.68	4.27	72	3	1918	5	1	0	1	1	0	0	0
498.79	6.83	73	3	1960	18	0	0	0	0	0	0	0
357.91	11.18	32	1	1975	5	0	0	0	0	0	0	0
1053.25	17.27	61	2	1997	18	0	0	0	0	0	0	1
761.94	8.37	91	4	1968	18	1	0	0	0	0	1	0
460.17	9.79	47	1	1996	18	0	0	0	0	0	0	0
368.59	7.09	52	2	2000	18	1	0	0	0	0	0	0
417.34	8.03	52	2	1939	18	1	0	0	0	0	0	0
584.25	8.35	70	2	1918	5	0	0	0	0	0	1	0
532.31	10.65	50	2	1957	18	0	0	0	0	0	0	0
